ONE,TWO,THREE,FOUR
17,82,79,94
11,57,44,8
4,44,80,48
82,31,42,3
82,77,83,83
97,74,21,13
84,54,69,29
71,3,46,76
30,90,26,80
31,90,11,21
48,0,86,92
21,15,42,57
97,85,18,86
72,50,14,54
89,10,38,73
65,5,14,45
75,62,71,58
83,48,73,62
38,82,14,95
63,19,11,45
87,5,19,52
89,19,58,4
64,45,4,69
9,3,31,77
97,29,66,36
23,91,50,80
79,15,93,22
85,24,48,21
81,68,89,59
9,21,51,77
76,35,37,8
13,5,83,93
20,91,65,87
1,78,36,88
69,89,32,71
35,4,92,11
16,96,38,83
77,53,79,50
29,38,37,84
59,70,43,19
27,64,60,97
97,57,79,89
36,48,84,85
55,21,82,40
77,85,1,35
95,92,55,81
21,30,40,91
74,51,65,73
26,66,11,88
19,36,29,75
50,84,71,40
26,35,77,4
28,50,88,99
54,5,62,34
93,44,74,25
80,41,84,37
28,32,36,4
57,89,33,41
84,52,79,69
72,13,93,13
78,12,88,47
24,97,84,48
43,51,34,27
37,68,0,79
2,60,55,50
7,87,66,66
37,63,68,36
33,31,17,74
0,89,7,68
92,78,19,71
39,25,83,25
17,42,76,26
42,41,71,29
66,99,56,78
83,68,29,4
66,95,32,61
90,25,5,43
34,13,84,65
40,38,62,87
20,67,59,10
3,24,50,17
45,25,52,67
67,14,77,19
55,84,7,18
33,43,12,33
20,55,50,96
4,26,16,57
65,48,45,46
69,41,32,56
20,43,33,63
50,42,90,48
1,66,57,97
28,59,46,35
55,78,8,13
33,91,7,30
12,8,61,18
43,64,89,9
23,52,52,56
5,66,85,96
54,88,11,5
